year,rank,university,budget_original,budget_unit,budget_yi_yuan,source_image,source_url,extraction_method,verified,notes
2018,12,山东大学,84.41亿元,亿元,84.41,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,13,天津大学,82.88亿元,亿元,82.88,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,14,南京大学,81.26亿元,亿元,81.26,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,15,西安交通大学,80.39亿元,亿元,80.39,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,16,厦门大学,76.81亿元,亿元,76.81,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,17,中南大学,73.02亿元,亿元,73.02,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,18,华南理工大学,71.75亿元,亿元,71.75,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,19,南开大学,69.15亿元,亿元,69.15,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,20,北京师范大学,66.12亿元,亿元,66.12,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,21,东南大学,44.70亿元,亿元,44.70,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,22,中国人民大学,57.79亿元,亿元,57.79,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,23,华东师范大学,57.03亿元,亿元,57.03,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,24,大连理工大学,55.59亿元,亿元,55.59,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,25,中国农业大学,55.45亿元,亿元,55.45,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
2018,26,电子科技大学,53.83亿元,亿元,53.83,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,
